"","mun","uf","crivo1","crivo2","sexo","idade","fx.idade","esc","sit","pea","satdem","jg1","jg3","jg4","fechacn","gc1","gc2","gc5","gc6","gc7","gc8","gc11","gc18","avalcn","problemabr","avallula","avalbolsonaro","avalmoro","avaldino","avalciro","avaldoria","avalhaddad","militargov","info1","voto18","ed","partsimp","partsimp2","partsimpn","partisimpn2","avalgov","cara1","cara2","cara3","cara4","cara5","cara6","cara7","cara8","classe8","classe8a","classe3m","classe3m_a","classe1","rcor","relig","fx.renda","reg"
"418","-Belém ","Pará "," - Sim ","- Não ","Feminino",21," – 18 a 24 anos "," - Colegial completo (3ª série do ensino médio)"," - Empregado assalariado com registro em carteira","PEA"," - Insatisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado"," - Não"," - Confia muito"," - Confia mais ou menos"," - Confia mais ou menos"," - Confia muito"," - Confia mais ou menos"," - Confia mais ou menos"," - Confia mais ou menos"," - Confia muito"," - Péssimo"," - Corrupção ","Gosta muito","Não gosta de jeito nenhum","5","Não gosta de jeito nenhum","7","6","9"," – Depende","-Noticiário da TV "," – Fernando Haddad"," - 2 ","Sim "," - PT ","Sim "," - NOVO "," - Péssimo","-  deveria ser afastado do cargo enquanto responde a um processo aberto pela PGR","-Sim ","Não podem ocorrer em uma democracia "," - Concorda pouco","A pandemia mostra a importância do SUS e justifica um substancial aumento em seu financiamento"," - de governadores e prefeitos"," . Tomando cuidado, mas ainda saindo de casa para trabalhar ou fazer outras atividades","Concorda muito","- Permaneceram na mesma classe","- Média média","- Permaneceram na mesma classe","- Média baixa","- Média média"," - Pardo"," - Católica ","Até R$ 1045,00 (até 1 SM) ","Norte"
"419","-Vila Velha ","Espírito Santo "," - Sim ","- Não ","Feminino",41," – 35 a 44 anos"," - Primário completo (4ª.serie do ensino fundamental)"," - Autônomo / conta própria","PEA"," - Insatisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não"," - Confia mais ou menos"," - Confia mais ou menos"," - Confia mais ou menos"," - Confia mais ou menos"," - Confia mais ou menos"," - Confia pouco"," - Não confia"," - Confia muito"," - Regular "," - Pandemia do novo Corona vírus ","Gosta muito","Não gosta de jeito nenhum","NS","NS","NS","NS","Gosta muito","Sim","-Noticiário da TV "," – Fernando Haddad"," - NS "," - Não",NA,"Sim "," - NS "," - Péssimo","-  deveria ser afastado do cargo enquanto responde a um processo aberto pela PGR"," – NS","Não podem ocorrer em uma democracia "," - NS"," – NS"," - de governadores e prefeitos",". Está totalmente isolado, sem sair de casa de jeito nenhum"," – NS","Mudaram de classe social","- Mais baixa","Mudaram de classe social"," Mais alta","- Baixa"," - Pardo"," - Evangélica ","Até R$ 1045,00 (até 1 SM) ","Sudeste"
"420","-Guarantã do Norte ","Mato Grosso "," - Sim ","- Não ","Masculino",26," – 25 a 34 anos"," - Ensino universitário incompleto ou especialização (técnico após ensino médio)"," - Empregado assalariado com registro em carteira","PEA"," - Insatisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não"," - Confia mais ou menos"," - Confia pouco"," - Confia mais ou menos"," - Confia muito"," - Confia mais ou menos"," - Confia mais ou menos"," - Confia pouco"," - Confia pouco"," - Regular "," - Corrupção ","5","6","8","NS","NS","5","NS","Sim","-Noticiário da TV "," – Não compareceu/JUSTIFICOU"," - 5"," - Não",NA," - Não",NA," - Regular"," – NS"," – NS","Não podem ocorrer em uma democracia "," - Discorda pouco",". O SUS tem se saído mal no enfrentamento da pandemia e sua continuidade  deveria ser discutida"," - de governadores e prefeitos"," . Tomando cuidado, mas ainda saindo de casa para trabalhar ou fazer outras atividades"," - Discorda pouco","Mudaram de classe social","- Média média","- Permaneceram na mesma classe","- Média média","- Média média"," - Pardo"," - Católica ",". De R$ 3136,00 a R$ 5225,00 (+ de 3SM até 5 SM) ","Centro-Oeste"
"421","-Goiânia ","Goiás  "," - Sim ","- Não ","Feminino",16," – 16 e 17 anos"," - Colegial incompleto (até 2ª série do ensino médio)"," – Estudante ","NÃO PEA"," - NS"," - Não se justificaria que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado"," - NS"," - Confia mais ou menos"," - Não confia"," - NS"," - Confia muito"," - NS"," - Confia pouco"," - Confia mais ou menos"," - Confia mais ou menos"," - NS"," - Pandemia do novo Corona vírus ","NS","5","7","NS","NS","NS","NS"," – NS","-Nunca busca informações sobre política"," – Não compareceu/JUSTIFICOU"," - NS "," - Não",NA," - Não",NA," - Ruim"," – NS"," – NS"," - É normal que ocorram em uma democracia"," - NS"," – NS"," - de governadores e prefeitos",". Está totalmente isolado, sem sair de casa de jeito nenhum","Concorda muito","- Não sabe","- Não sabe","- Não sabe","- Não sabe","- Não sabe"," - Pardo"," - Evangélica ",". De R$ 2091,00 a R$ 3135,00 (+ de 2SM até 3 SM) ","Centro-Oeste"
"422","-Londrina ","Paraná "," - Sim ","- Não ","Masculino",42," – 35 a 44 anos"," - Ginásio completo (8ª série do ensino fundamental)"," - Empregado assalariado com registro em carteira","PEA"," - Insatisfeito","Seria justificado que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado"," - Sim"," - Não confia"," - Não confia"," - Confia muito"," - Confia muito"," - Não confia"," - Confia muito"," - Não confia"," - Confia muito"," - Péssimo","Crise política","Não gosta de jeito nenhum","Gosta muito","Não gosta de jeito nenhum","NS","Não gosta de jeito nenhum","Não gosta de jeito nenhum","Não gosta de jeito nenhum","Sim","-Busca/PESQUISA no Google (SITES?)","Jair Bolsonaro"," - 10 [direita]"," - Não",NA,"Sim "," - PT ","Ótimo"," - deveria continuar no cargo","-Não"," - É normal que ocorram em uma democracia"," - Discorda muito","A pandemia mostra a importância do SUS e justifica um substancial aumento em seu financiamento"," - do governo federal",". Está vivendo normalmente, sem mudar nada na sua rotina"," - Discorda pouco","- Permaneceram na mesma classe","- Média baixa","- Permaneceram na mesma classe","- Média baixa","- Média baixa"," - Pardo"," - Evangélica ","Até R$ 1045,00 (até 1 SM) ","Sul"
"423","-Açucena ","Minas Gerais "," - Sim ","- Não ","Feminino",35," – 35 a 44 anos"," - Colegial completo (3ª série do ensino médio)"," - Desempregado (não procura emprego) ","NÃO PEA"," - Muito satisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Sim"," - Confia muito"," - Confia muito"," - Confia muito"," - Não confia"," - Confia mais ou menos"," - Confia muito"," - Não confia"," - Confia pouco"," - Ótimo"," - Corrupção ","Gosta muito","Gosta muito","9","Gosta muito","Gosta muito","5","Não gosta de jeito nenhum","Sim","-Blogs da internet","Jair Bolsonaro"," – NR"," - Não",NA,"Sim "," - PSDB","Ótimo"," - deveria continuar no cargo","-Não"," - É normal que ocorram em uma democracia"," - Discorda muito","A pandemia mostra a importância do SUS e justifica um substancial aumento em seu financiamento"," - de governadores e prefeitos",". Saindo de casa só quando é inevitável"," - Discorda muito","- Permaneceram na mesma classe","- Média baixa","- Permaneceram na mesma classe","- Média baixa","- Média baixa"," - Branco"," - Evangélica ","Até R$ 1045,00 (até 1 SM) ","Sudeste"
"424","-Açucena ","Minas Gerais "," - Sim ","- Não ","Masculino",65,"65 ou mais"," - Ginásio completo (8ª série do ensino fundamental)"," - Aposentado por tempo de trabalho ","NÃO PEA"," - Satisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não"," - Confia muito"," - Confia pouco"," - Confia muito"," - Não confia"," - Confia muito"," - Confia muito"," - Confia mais ou menos"," - Confia muito"," - Regular "," - Corrupção ","8","Gosta muito","8","5","9","7","8"," - Não","-Noticiário da TV ","Jair Bolsonaro"," - 5"," - Não",NA," - Não",NA," - Regular","-  deveria ser afastado do cargo enquanto responde a um processo aberto pela PGR","-Não"," - É normal que ocorram em uma democracia","Concorda muito","A pandemia mostra a importância do SUS e justifica um substancial aumento em seu financiamento"," - de governadores e prefeitos",". Está totalmente isolado, sem sair de casa de jeito nenhum","Concorda muito","- Permaneceram na mesma classe","- Média média","- Permaneceram na mesma classe","- Média média","- Média média"," - Pardo"," - Outra ","Até R$ 1045,00 (até 1 SM) ","Sudeste"
"425","-Poá ","São Paulo "," - Sim ","- Não ","Feminino",60," - 55 a 64 anos"," - Colegial completo (3ª série do ensino médio)"," - Autônomo / conta própria","PEA"," - Muito insatisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não"," - Confia muito"," - Confia mais ou menos"," - Confia mais ou menos"," - Confia muito"," - Confia mais ou menos"," - Não confia"," - Não confia"," - Confia mais ou menos"," - Regular ","Crise política","Gosta muito","5","5","NS","Não gosta de jeito nenhum","Não gosta de jeito nenhum","Não gosta de jeito nenhum"," - Não","-Busca/PESQUISA no Google (SITES?)"," – Nulo "," - 5"," - Não",NA," - Não",NA," - Regular","-  deveria ser afastado do cargo enquanto responde a um processo aberto pela PGR","-Sim ","Não podem ocorrer em uma democracia "," - Discorda pouco",". O SUS tem se saído bem no enfrentamento da pandemia com os recursos que tem e não se justifica um aumento no financi"," - de governadores e prefeitos",". Saindo de casa só quando é inevitável","Concorda muito","- Permaneceram na mesma classe","- Média alta","Mudaram de classe social","- Média baixa","- Média baixa"," - Pardo"," - Evangélica ","Até R$ 1045,00 (até 1 SM) ","Sudeste"
"426","-Poá ","São Paulo "," - Sim ","- Não ","Feminino",61," - 55 a 64 anos"," - Ginásio completo (8ª série do ensino fundamental)"," - Dona de casa ","NÃO PEA"," - Insatisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado"," - Não"," - Confia mais ou menos"," - Confia pouco"," - Confia pouco"," - Confia muito"," - Confia mais ou menos"," - Confia muito"," - Não confia"," - Confia mais ou menos"," - Regular "," - Saúde, falta de serviço ","Não gosta de jeito nenhum","8","4","3","6","4","4","Sim","-Busca/PESQUISA no Google (SITES?)","Jair Bolsonaro"," - 5"," - Não",NA,"Sim "," - PT "," - Regular"," - deveria continuar no cargo","-Não"," - É normal que ocorram em uma democracia"," - Concorda pouco",". O SUS tem se saído bem no enfrentamento da pandemia com os recursos que tem e não se justifica um aumento no financi"," - do governo federal",". Saindo de casa só quando é inevitável"," - Discorda muito","- Permaneceram na mesma classe","- Média baixa","Mudaram de classe social","- Média baixa","- Mais baixa"," - NS"," - Evangélica ",". De R$ 2091,00 a R$ 3135,00 (+ de 2SM até 3 SM) ","Sudeste"
"427","-Poá ","São Paulo "," - Sim ","- Não ","Masculino",61," - 55 a 64 anos"," - Ginásio completo (8ª série do ensino fundamental)"," - Autônomo / conta própria","PEA"," - Insatisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado"," - Não"," - Confia muito"," - Confia pouco"," - Confia muito"," - Confia muito"," - Confia mais ou menos"," - Confia pouco"," - Confia muito"," - Confia muito"," - Regular "," - Corrupção ","9","Não gosta de jeito nenhum","Gosta muito","7","8","8","6"," - Não","-Facebook"," – Nulo "," - 8 "," - Não",NA," - Não",NA," - Péssimo"," deveria sofrer um impeachment","-Sim ","Não podem ocorrer em uma democracia ","Concorda muito",". O SUS tem se saído bem no enfrentamento da pandemia com os recursos que tem e não se justifica um aumento no financi"," - de governadores e prefeitos",". Saindo de casa só quando é inevitável"," - Concorda pouco","- Permaneceram na mesma classe","- Média média","- Permaneceram na mesma classe","- Média alta","- Média alta"," Preto"," - Católica ",". De R$ 2091,00 a R$ 3135,00 (+ de 2SM até 3 SM) ","Sudeste"
